"Design a leaderless replication protocol with sloppy quorums that tolerates network partitions while bounding staleness for read-your-writes consistency.",7
"Implement a token-bucket rate limiter that is consistent across 50 stateless microservice replicas without a single point of failure.",7
"Explain how Raft's leader election handles the split-vote scenario and why randomized timeouts alone are insufficient at high replica counts.",7
"Design a multi-region active-active database architecture that resolves write conflicts using CRDTs for a shopping cart use case.",7
"Implement a distributed lock service using Redis with correct fencing tokens to prevent stale-lock-holder writes.",7
"Design a backpressure-aware message queue architecture connecting 10 producers to a slow consumer without unbounded memory growth.",7
"Explain the trade-offs between chain replication and quorum-based replication for a write-heavy key-value store.",7
"Design a service mesh sidecar retry policy that avoids retry storms during a downstream partial outage.",7
"Implement consistent hashing with virtual nodes and explain how you'd rebalance data when a node joins a 200-node cluster.",7
"Design a distributed cron/scheduler service that guarantees exactly-once job execution across a fleet of workers.",8
"Design a Byzantine fault-tolerant consensus protocol with formal safety and liveness proofs for a permissioned blockchain.",9
"Prove that no asynchronous consensus protocol can guarantee both safety and liveness in the presence of even one faulty process (FLP impossibility) and discuss its practical implications for Paxos.",9
"Design a globally distributed transactional database (Spanner-like) with TrueTime-style bounded clock uncertainty and prove external consistency.",10
"Design a novel gossip protocol with provable epidemic convergence bounds under adversarial message loss rates.",9
"Formally verify the safety of a two-phase commit protocol extension that adds a coordinator failover mechanism using TLA+.",9
"Design a self-stabilizing distributed algorithm for leader election that recovers from arbitrary transient faults without external reset.",9
"Prove tight bounds on the message complexity of Byzantine agreement with n=3f+1 replicas under partial synchrony.",10
"Design a CRDT for a collaborative text editor that guarantees convergence under arbitrary operation reordering, with a formal proof of strong eventual consistency.",8
"Implement a lock-free concurrent skip list supporting insertion and deletion, and argue why it avoids the ABA problem without hazard pointers.",7
"Implement a persistent (immutable) red-black tree supporting O(log n) insert with structural sharing, and analyze amortized rebalancing cost.",7
"Design and implement a Fibonacci heap supporting decrease-key in O(1) amortized time and explain its role in Dijkstra's algorithm's O(E + V log V) bound.",7
"Implement a suffix automaton for a string and use it to count distinct substrings in O(n).",8
"Implement a van Emde Boas tree supporting predecessor/successor queries in O(log log U) time for a universe of size U.",8
"Design an algorithm to find the k-th smallest element in the union of two sorted arrays in O(log(m+n)) time, with full correctness proof.",7
"Implement a link-cut tree supporting path queries on a dynamic forest in O(log n) amortized time.",9
"Prove the correctness and analyze the amortized complexity of the union-find data structure with path compression and union by rank.",7
"Design an approximate nearest neighbor search structure (e.g. HNSW) and derive its expected query complexity in high-dimensional space.",8
"Implement a persistent segment tree supporting range updates and historical version queries in O(log n) per operation.",8
"Design an algorithm for the minimum-cost flow problem using successive shortest augmenting paths with Johnson's reweighting, and prove its polynomial runtime.",8
"Prove that determining whether a given planar graph has a Hamiltonian cycle remains NP-complete, and discuss known polynomial special cases.",9
"Design a competitive online algorithm for the ski-rental problem and prove its optimal competitive ratio.",7
"Design a streaming algorithm to estimate the number of distinct elements in a data stream using O(log log n) space (HyperLogLog-style) with error analysis.",8
"Derive and prove the time complexity of the Blossom algorithm for maximum matching in general (non-bipartite) graphs.",9
"Design a parallel algorithm for suffix array construction (DC3/skew algorithm) and prove its O(n) work bound.",9
"Prove the existence of an NP-intermediate problem under the assumption P is not NP (Ladner's theorem) and sketch the diagonalization construction.",10
"Design a polynomial-time approximation scheme (PTAS) for the Euclidean traveling salesman problem and outline Arora's proof of correctness.",10
"Design a sharded, multi-tenant SaaS architecture with per-tenant data isolation, noisy-neighbor mitigation, and online resharding.",7
"Design a real-time bidding (RTB) ad exchange system that must respond within 100ms p99 across geographically distributed exchanges.",8
"Design the architecture for a global content delivery network with dynamic origin shielding and cache invalidation propagation under 1 second.",8
"Design a system for exactly-once event processing in a payment pipeline spanning Kafka, a database, and a third-party payment gateway.",8
"Design a search autocomplete system serving 100k queries/sec with personalized ranking and sub-10ms latency.",7
"Design an architecture for a multiplayer game server handling authoritative state synchronization for 10,000 concurrent players with lag compensation.",8
"Design a feature store architecture supporting both low-latency online serving and batch offline training with point-in-time correctness.",8
"Design a system to detect and mitigate cascading failures in a microservice dependency graph with circuit breakers and adaptive concurrency limits.",8
"Design the full architecture of a stock exchange matching engine capable of handling 1M orders/sec with deterministic ordering and disaster recovery.",9
"Design a planet-scale DNS system with anycast routing, DDoS mitigation, and sub-second failover, and formally justify its availability guarantees.",9
"Derive the backpropagation update rule for a transformer's multi-head self-attention layer including the Jacobian of the softmax, and identify where gradient instability arises.",8
"Explain why increasing model width and depth alone eventually leads to double descent, and derive the bias-variance decomposition that predicts this.",9
"Design a mixture-of-experts routing mechanism with load-balancing auxiliary loss and prove why naive top-1 routing collapses to a subset of experts.",8
"Derive the ELBO for a variational autoencoder and explain the reparameterization trick's role in enabling low-variance gradient estimates.",7
"Explain the mathematical mechanism behind grokking in neural networks and connect it to the loss landscape's implicit regularization.",9
