"Design a de Bruijn graph-based genome assembler and explain how it resolves repeat regions longer than the k-mer size using paired-end read information.",7
"Explain how the Needleman-Wunsch global alignment algorithm's affine gap penalty model is implemented via three coupled dynamic-programming matrices, and derive its time complexity.",7
"Design a variant-calling pipeline's local realignment step around indels and explain why it reduces false-positive SNP calls near insertion/deletion boundaries.",7
"Explain how a Bloom-filter-based k-mer counting strategy enables genome assembly on datasets too large to fit exact k-mer counts in memory, and derive the resulting false-positive rate.",7
"Design a phylogenetic tree reconstruction pipeline using maximum likelihood under a substitution model, and explain why exhaustive tree search is infeasible beyond a small number of taxa.",7
"Explain how a Hidden Markov Model-based gene-finding algorithm distinguishes exons from introns using emission and transition probabilities trained on annotated genomes.",7
"Design a single-cell RNA-seq clustering pipeline that corrects for batch effects across sequencing runs without erasing true biological subpopulation structure.",7
"Explain how a protein contact-map prediction model's output is converted into a 3D structure via distance-geometry-based folding, and identify what information is lost in this conversion.",7
"Design a CRISPR guide-RNA off-target prediction algorithm that scores candidate sites by mismatch position and count, and explain why position-dependent weighting matters biologically.",7
"Explain how a metagenomic classification pipeline assigns short reads to taxa using a k-mer-based lowest-common-ancestor algorithm, and derive its precision-recall trade-off versus read length.",7
"Design a genome-wide association study's population-stratification correction using principal components, and explain how failing to correct for it inflates false-positive association signals.",8
"Explain how AlphaFold's Evoformer architecture jointly refines a multiple-sequence-alignment representation and a pairwise-distance representation, and describe the role of the invariant point attention module in the structure module.",8
"Design a long-read (nanopore) genome assembler's error-correction step that must handle a much higher per-base error rate than short-read sequencing, and explain how it still achieves high consensus accuracy.",8
"Explain how a coalescent-based phylogenetic method infers a species tree from discordant gene trees, and identify why concatenation-based methods can be statistically inconsistent under incomplete lineage sorting.",8
"Design a single-cell trajectory-inference algorithm (pseudotime estimation) and explain how it distinguishes a branching differentiation process from a linear one without ground-truth time labels.",8
"Explain how a molecular dynamics simulation's Ewald summation handles long-range electrostatic interactions under periodic boundary conditions, and derive why naive truncation would introduce artifacts.",8
"Design a Bayesian phylogenetic dating method that calibrates a molecular clock using fossil constraints, and explain how rate variation across lineages is modeled.",8
"Design a structural-variant-calling algorithm that combines split-read, read-pair, and read-depth signals, and explain why no single signal type is sufficient on its own.",8
"Explain how a protein-protein docking algorithm's scoring function balances shape complementarity against electrostatic and desolvation energy terms, and identify the main source of false-positive poses.",8
"Design a haplotype-phasing algorithm for a diploid genome using linked-read sequencing data, and derive how switch-error rate depends on the linking-read span.",8
"Prove the statistical consistency of the maximum-parsimony phylogenetic method under a specific class of substitution models, and explain the long-branch-attraction failure mode where consistency breaks down.",9
"Design a joint genome-assembly and scaffolding algorithm that integrates Hi-C contact-frequency data to order and orient contigs into chromosome-scale scaffolds.",9
"Design a population-genetics simulation framework implementing a coalescent-with-recombination model, and explain the computational bottleneck that ancestral recombination graphs introduce at genome scale.",9
"Formalize a proof that a specific multiple-sequence-alignment heuristic's guide-tree-based progressive alignment strategy is NP-hard to solve optimally in the general case, via a reduction from a known hard problem.",9
"Design a probabilistic graphical model for joint variant calling across a pedigree of related individuals that leverages Mendelian inheritance constraints to improve genotype accuracy.",9
"Design a diffusion-model-based protein-structure generation pipeline conditioned on a functional-motif constraint, and derive how the guidance term is incorporated into the reverse-diffusion sampling process.",10
"Formalize and prove a tight computational-complexity bound for the RNA secondary-structure prediction problem with pseudoknots, showing why the pseudoknot-free case is tractable but the general case is NP-hard.",10
"Design a linear-quadratic regulator for a robotic manipulator's joint-space trajectory tracking and derive the Riccati equation whose solution yields the optimal feedback gain.",7
"Explain how an extended Kalman filter fuses noisy IMU and wheel-odometry measurements for a mobile robot's pose estimate, and identify the failure mode caused by unmodeled nonlinearity during aggressive maneuvers.",7
"Design a sampling-based motion planner (RRT*) for a robotic arm in a cluttered environment and explain how the rewiring step guarantees asymptotic optimality.",7
"Explain how a robot's inverse kinematics solver handles a redundant manipulator's null-space motion to satisfy a secondary objective (e.g. obstacle avoidance) while achieving the primary end-effector goal.",7
"Design a model predictive control scheme for a quadrotor's trajectory tracking that respects actuator saturation constraints, and explain how the receding-horizon reoptimization handles disturbances.",7
